id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
10481025,2018/03/28 12:09 PM JST,2018-03-28,2018-03-28 03:09:00 UTC,Tokyo,398475,belvedere04,2018-03-29 00:12:57 UTC,2021-03-03 08:04:10 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10481025,https://inaturalist-open-data.s3.amazonaws.com/photos/14571930/medium.jpeg,,"","Japanese name: hirenjaku, ヒレンジャク. A few couples in the wood.",4,0,false,,Japan,35.8205810633,139.4617115094,8,,,,28620,,obscured,true,,,Japanese Waxwing,Bombycilla japonica,Japanese Waxwing,Aves,7432
10481272,2018/03/28 12:12 PM JST,2018-03-28,2018-03-28 03:12:00 UTC,Tokyo,398475,belvedere04,2018-03-29 00:27:15 UTC,2020-03-08 16:52:11 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10481272,https://inaturalist-open-data.s3.amazonaws.com/photos/14572269/medium.jpeg,,"","Japanese name: koikaru, コイカル. Male.",1,0,false,,"Sakura Ward, Saitama, Saitama Prefecture, Japan",35.8565176725,139.593411684,8,,,,8,,open,false,,,Yellow-billed Grosbeak,Eophona migratoria,Yellow-billed Grosbeak,Aves,10534
10481369,2018/03/28 12:31 PM JST,2018-03-28,2018-03-28 03:31:00 UTC,Tokyo,398475,belvedere04,2018-03-29 00:34:00 UTC,2019-03-13 17:00:16 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10481369,https://inaturalist-open-data.s3.amazonaws.com/photos/14572634/medium.jpeg,,"","Japanese name: aosagi, アオサギ, 青鷺.",2,0,false,,"Sakura Ward, Saitama, Saitama Prefecture, Japan",35.8672823051,139.5818352699,31,,,,31,,open,false,,,Grey Heron,Ardea cinerea,Grey Heron,Aves,4954
10484572,2018/03/28 12:52 PM JST,2018-03-28,2018-03-28 03:52:00 UTC,Tokyo,398475,belvedere04,2018-03-29 03:56:01 UTC,2018-03-31 13:07:47 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10484572,https://inaturalist-open-data.s3.amazonaws.com/photos/14578062/medium.jpeg,,"","Japanese name: kawarahiwa, カワラヒワ.
A small flock on the branches of a line of gingko trees",1,0,false,,"Nishi-ku, Saitama, Saitama Prefecture, Japan",35.8901278808,139.566514492,31,,,,31,,open,false,,,Oriental Greenfinch,Chloris sinica,Oriental Greenfinch,Aves,145361
10484674,2018/03/28 1:39 PM JST,2018-03-28,2018-03-28 04:39:00 UTC,Tokyo,398475,belvedere04,2018-03-29 04:04:44 UTC,2019-01-23 11:01:20 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10484674,https://inaturalist-open-data.s3.amazonaws.com/photos/14578323/medium.jpeg,,"","Japanese name: tsugumi, ツグミ.",2,0,false,,"Nishi-ku, Saitama, Saitama Prefecture, Japan",35.8902321834,139.5663642883,61,,,,61,,open,false,,,Dusky Thrush,Turdus eunomus,Dusky Thrush,Aves,145087
10484723,2018/03/28 3:19 PM JST,2018-03-28,2018-03-28 06:19:00 UTC,Tokyo,398475,belvedere04,2018-03-29 04:09:00 UTC,2019-05-08 09:10:00 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10484723,https://inaturalist-open-data.s3.amazonaws.com/photos/14578395/medium.jpeg,,"","Japanese name:  kiji, キジ, 雉. Male.",2,0,false,,"Nishi-ku, Saitama, Saitama Prefecture, Japan",35.8872768903,139.5615577698,31,,,,31,,open,false,,,Phasianus colchicus versicolor,Phasianus colchicus versicolor,Japanese Green Pheasant,Aves,509012
10485107,2018/03/28 3:36 PM JST,2018-03-28,2018-03-28 06:36:00 UTC,Tokyo,398475,belvedere04,2018-03-29 04:35:29 UTC,2018-03-30 15:00:21 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10485107,https://inaturalist-open-data.s3.amazonaws.com/photos/14578640/medium.jpeg,,"","Japanese name: chogenbo, チョウゲンボウ.
He was flapping the winds, keeping the same position at mid air, above the embankment of the river. He spotted the prey, dashed to the ground, picked up something and flew towards the paddy fields, where he stopped on the ground, I guess to eat his prey.
",1,0,false,,"Nishi-ku, Saitama, Saitama Prefecture, Japan",35.8747243577,139.5710420609,61,,,,61,,open,false,,,Eurasian Kestrel,Falco tinnunculus,Eurasian Kestrel,Aves,472766
10889769,2018-04-14 3:17:20 午後 JST,2018-04-14,2018-04-14 06:17:20 UTC,Tokyo,844929,reiko3,2018-04-14 06:18:44 UTC,2018-04-14 11:18:24 UTC,needs_id,,https://www.inaturalist.org/observations/10889769,https://static.inaturalist.org/photos/15311663/medium.jpeg,,"",,0,0,false,2,"Saitama, JP-ST, JP",35.93312771,139.64081195,7,,,,7,,open,false,gps,gps,bay forget-me-not,Myosotis laxa,bay forget-me-not,Plantae,78150
10896114,2018-04-14 3:46:58 午後 JST,2018-04-14,2018-04-14 06:46:58 UTC,Tokyo,844929,reiko3,2018-04-14 11:15:59 UTC,2018-07-20 15:30:48 UTC,research,,https://www.inaturalist.org/observations/10896114,https://static.inaturalist.org/photos/15311710/medium.jpeg,,"",,2,0,false,2,日本、〒337-0053 埼玉県さいたま市見沼区大和田町２丁目１０１０−１ 栗山金物センターさいたま店,35.9344444275,139.6463928223,,,,,,,open,false,gps,gps,ニホンカナヘビ,Takydromus tachydromoides,Japanese Grass Lizard,Reptilia,68348
10946293,2018-04-15 2:10:06 午後 JST,2018-04-15,2018-04-15 05:10:06 UTC,Tokyo,844929,reiko3,2018-04-15 05:12:05 UTC,2018-05-05 04:19:12 UTC,research,,https://www.inaturalist.org/observations/10946293,https://static.inaturalist.org/photos/15394098/medium.jpeg,,"",,3,1,false,2,日本、〒337-0053 埼玉県さいたま市見沼区大和田町２丁目２１４−３,35.9319458008,139.6422271729,,,,,,,,false,gps,gps,Yellow Tip,Anthocharis scolymus,Yellow Tip,Insecta,358675
